檢查日期,股票代碼,公司名稱,PTT提及次數,股價
2026-07-13,2498,宏達電,14,45.15
2026-07-13,2330,台積電,5,2415
2026-07-13,2362,藍天,3,43.4
2026-07-13,1595,川寶,2,#N/A
2026-07-13,1218,泰山,1,16.85
2026-07-13,1219,福壽,1,12.2
2026-07-13,1303,南亞,1,181.5
2026-07-13,2101,南港,1,34
2026-07-13,2303,聯電,1,156
2026-07-13,2408,南亞科,1,435.5
2026-07-13,2617,台航,1,30.5
2026-07-13,2903,遠百,1,22.25
2026-07-13,3042,晶技,1,200
2026-07-13,3045,台灣大,1,108.5
2026-07-13,3687,歐買尬,1,#N/A
2026-07-13,8284,三竹,1,#N/A


檢查日期,排名,詞彙,出現次數
2026-07-13,1,今天,84
2026-07-13,2,明天,68
2026-07-13,3,台股,55
2026-07-13,4,放假,45
2026-07-13,5,躲噴,35
2026-07-13,6,禮拜,33
2026-07-13,7,開盤,29
2026-07-13,8,美股,29
2026-07-13,9,不要,29
2026-07-13,10,西班牙,28
2026-07-13,11,晚上,27
2026-07-13,12,開高,27
2026-07-13,13,就是,27
2026-07-13,14,一天,26
2026-07-13,15,台北,26
2026-07-13,16,富台,23
2026-07-13,17,韓國,22
2026-07-13,18,韓股,22
2026-07-13,19,tw,19
2026-07-13,20,風假,19
